Nr.,Njësitë,AKP ID,Çmimi më i Lartë,Ofertuesi_1,Çmimi_1,Ofertuesi_2,Çmimi_2,Ofertuesi_3,Çmimi_3,source_file,page_number,Zyret Regjionale
1,Njësia nr.01-Pasuria Bujqësore Toka në Papaz (Lot B),GJI011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
2,Njësia nr.02-Pasuria Bujqësore Toka në Papaz (Lot C),GJI011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
3,Njësia nr.03-Pasuria Bujqësore Toka në Rahovice (Lot J),GJI011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
4,Njësia nr.04-Pasuria Bujqësore Toka në Slivovë (Lot B),GJI011,86009.0,L39,86009.0,L13,37255.0,L04,35353.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
5,Njësia nr.05-Agromorava Toka në Budrigë të Epërme (Lot A),GJI035,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
6,Njësia nr.06-Agromorava Toka në Viti (Lot D),GJI035,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
7,Njësia nr.07-Morava Partesh Toka në Cërnicë (Lot A),GJI018,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
8,Njësia nr.08-Agromorava Toka në Sodovinë e Çerkezve (Lot B),GJI035,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
9,Njësia nr.09-Agromorava Toka në Tërstenik (Lot A),GJI035,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
10,Njësia nr.10-Morava e Binces Vetura Mercedes,GJI037,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
11,Njësia nr.11-Agrokultura Toka në Gjilan (Lot J),GJI004,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
12,Njësia nr.12-Agrokultura Toka në Gjilan (Lot G),GJI004,16000.0,L08,16000.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
13,Njësia nr.13-R. Agushi Tokë Bujqësore në Elezaj,GJI026,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
14,Njësia nr.14-NSH Produkt Parcelat në Polac i Ri,MIT008,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
18,"Njësia nr.18-Produkt Parcelat 955-0, 956-0 dhe 957-1 në Baks",MIT008,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
19,Njësia nr.19-Elan Parcela 00083-0 në Liqej,MIT012,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
21,Njësia nr.21-NSH Produkti Toka në Polac i vjeter,MIT008,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
22,Njësia nr.22-Agrokultura Furra e vjetër në Stanterg,MIT002,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
23,Njësia nr.23-Agrokultura depoja në Bare,MIT002,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
24,Njësia nr.24-Parcela nr. 378 ZK Gërgoc,PEJ003,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
25,Njësia nr.25-Parcela nr. 591 ZK Gërgoc,PEJ003,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
26,Njësia nr.26-Toka dhe Depo në Drenoc,PEJ037,16969.0,L10,16969.0,L17,11930.0,L15,9350.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
27,Njësia nr.27-NT Koreniku Dyqani nr.1 në Banje përballe Postës,PEJ137,30150.0,L38,30150.0,L33,23000.0,L23,19111.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
28,Njësia nr.28-NT Koreniku Dyqani nr. 1 në Istog,PEJ137,4242.0,L24,4242.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
29,Njësia nr.29-NT Koreniku Dyqani nr. 2 në Istog,PEJ137,9990.0,L40,9990.0,L41,5150.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
30,Njësia nr.30-KBI Bujqësia Parcela 1-44 ZK Qeskovë,PEJ055,35123.0,L36,35123.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
31,"Njësia nr.31-KBI Bujqësia Parcelat 30-1, 30-2 ZK Nagllavë",PEJ055,10777.0,L47,10777.0,L34,PARSE_ERROR: #REF! (could not convert string to float: '#REF!'),L35,PARSE_ERROR: #REF! (could not convert string to float: '#REF!'),157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
32,Njësia nr.32-NPB Malishgan Parcela 158-48 në Zllakuqan,PEJ172,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
33,Njësia nr.33-NPB Malishgani parcela nr. 83-1 në Dranashiq,PEJ172,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
34,Njësia nr.34-NSH Ereniku PP Tokë bujqësore në Raqë 1,PEJ029,47125.0,L32,47125.0,L28,36600.0,L18,2111.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
35,Njësia nr.35-NSH Ereniku PP Tokë bujqësore në Raqë 2,PEJ029,22777.0,L37,22777.0,L19,2111.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
36,Njësia nr.36-KB Dubrava Toka bujqësore në Orroberdë,PEJ036,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
37,Njësia nr.37-NPB Malishgani Toka Bujqësore në Klinavc,PEJ172,3500.0,L03,3500.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
38,Njësia nr.38-Ratar Tokë Bujqësore Preoc II,PRN115,265641.0,L45,265641.0,L42,142072.0,L27,128000.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
39,Njësia nr.39-Ratar Tokë Bujqësore Preoc III,PRN115,86000.0,L44,86000.0,L46,72800.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
40,Njësia nr.40-Visoko Commerce Shitorja nr.1,PRN117,90555.0,L14,90555.0,L20,52350.0,L48,51111.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
41,Njësia nr.41-KB Flora Tokë Bujqësore Repë I,PRN017,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
