filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates (619).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"11,810.00"
b08_njoftim_per_dhenje_te_kontrates (58).pdf,KUVENDI I KOMUNES SE PRISHTINES,""" Sanimi dhe asfaltimi i rrugës Fehmi Lladrovci- Prishtinë""",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"59.480,30"
b08_njoftim_per_dhenje_te_kontrates_1 (220).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i rruges ne Grashtice-Pune shtese,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"4,502.07"
b08_njoftim_per_dhenje_te_kontrates (475).pdf,KUVENDI I KOMUNES SE PRISHTINES,Shërbime për udhëheqjen e ankandeve publike,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"8,00"
b08_njoftim_per_dhenje_te_kontrates_1 (109).pdf,KUVENDI I KOMUNES SE PRISHTINES,Transporti i nxënësve dhe arsimtarëve-Nishec –Keqekolle loto 2 ritender,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (863).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Ndërtimi i rrugëve (Bardhok Biba, Qemal Stafa, Plava dhe Agron Rama në Shkabaj) - punë shtesë",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"45,103.01"
b08_njoftim_per_dhenje_te_kontrates (530).pdf,KUVENDI I KOMUNES SE PRISHTINES,Dekorimi i qytetit për festa,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"36,60"
b08_njoftim_per_dhenje_te_kontrates (160).pdf,KUVENDI I KOMUNES SE PRISHTINES,Shërbimet e transportit me marimangë-RITENDER,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
furnizim_me_material_pedagogjik_per_institucionet_edukativo-arsimore_iea_03.06.2025.pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me material pedagogjik për Institucionet Edukativo-Arsimore (IEA),Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"28,865.00"
b08_njoftim_per_dhenje_te_kontrates_2 (51).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi I rrugeve rurale me infrastrukture percjellese - Loto 3 (ndertim I rruges Keqekolle - Nishevc),Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"9 564,00"
b08_njoftim_per_dhenje_te_kontrates_1 (332).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i krahëve te rrugës Muharrem Fejza”-punë shtesë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"41,147.40"
b08_njoftim_per_dhenje_te_kontrates_1 (298).pdf,KUVENDI I KOMUNES SE PRISHTINES,22 Furnizimi me mejete higjenike në IEA,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"41,506.50"
b08_njoftim_per_dhenje_te_kontrates_1 (277).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Demolimi, furnizimi dhe montimi i dyerve dhe dritareve per SHFMU ,,Meto Bajraktari dhe IEA te tjera",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"140,910.00"
b08_njoftim_per_dhenje_te_kontrates_1 (58).pdf,KUVENDI I KOMUNES SE PRISHTINES,Deponia e mbeturinave prapa Shkollës Model,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"17.588,00"
b08_njoftim_per_dhenje_te_kontrates (588).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"3,490.00"
b08_njoftim_per_dhenje_te_kontrates (422).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me makina mjelese per blegetor,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"28 400,00"
b08_njoftim_per_dhenje_te_kontrates (137).pdf,KUVENDI I KOMUNES SE PRISHTINES,Vlerësimi Strategjik Mjedisor për Planin e Mobilitetit te Qëndrueshëm Urban,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"8.300,00"
b08_njoftim_per_dhenje_te_kontrates (567).pdf,KUVENDI I KOMUNES SE PRISHTINES,Rregullimi i dyerve dhe dritareve në Institucionet Arsimore,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"236,14"
