single-post href,title
https://prishtinaonline.com/uploads/furnizim_me_material_higjienik_per_nxenesit_e_komuniteteve_rom_ashkalij_dhe_egjiptian_22.08.2025.pdf,"Supply of hygiene materials for students from the Roma, Ashkali and Egyptian communities 22.08.2025"
https://prishtinaonline.com/uploads/ndertimi_i_tri_mbikalimeve_te_perkohshme_ne_lagjet_aktash_lakerisht_dhe_aberi_-_pune_shtese_21.08.2025.pdf,Construction of three temporary overpasses in the neighborhoods of Aktash; Lakërisht; and Abëri - (additional work) 21.08.2025
https://prishtinaonline.com/uploads/intervenime_riparime_dhe_mirembajtja_urgjente_dhe_pajisje_21.08.2025.pdf,"Interventions, repairs and urgent maintenance and equipment 21.08.2025"
https://prishtinaonline.com/uploads/mirembajtja_e_aparaturave_per_printim_kopjim_skanim_furnizimi_i_tyre_me_toner_drum_si_dhe_ngjyra_per_plotter_-_mirmbajtja_e_e-kiosqeve._ri-tender_19.08.2025.pdf,"Maintenance of printing, copying, scanning equipment, their supply with toner, drum and ink for plotters - Maintenance of E-Kiosks. Re-tender 19.08.2025"
https://prishtinaonline.com/uploads/renovimi_i_shkollave_dhe_iea-se_-gelqerosja_12.08.2025.pdf,Renovation of schools and IEA -Limestone 12.08.2025
https://prishtinaonline.com/uploads/174_-_prodhimi_furnizimi_dhe_vendosja_e_numrave_te_adresave_per_njesite_e_banimit_ne_komunen_e_prishtines._ri-tender_12.08.2025.pdf,"174 - Production, supply and placement of address numbers for residential units in the Municipality of Prishtina. Re-tender 12.08.2025"
https://prishtinaonline.com/uploads/revovimi_i_shkollave_ne_iea_demolimi_furnizimi_dhe_montimi_i_dyerve_dhe_dritareve_ne_ieaa_06.08.2025.pdf,"Renovation of schools in IEA, Demolition, supply and installation of doors and windows in IEAA 06.08.2025"
https://prishtinaonline.com/uploads/instalimi_elektrikes_-_blerja_zhvendosja_montimi_dhe_leshimi_ne_pune_e_trafos_per_shkollen_pavarsia_01.08.2025.pdf,"Electrical Installation - Purchase, relocation, assembly and commissioning of the transformer for the Pavarsia school 01.08.2025"
https://prishtinaonline.com/uploads/pajisje_te_ndryshme_pune_ne_drejtorine_e_inspeksionit_furnizim_me_dron_01.08.2025.pdf,Various work equipment in the Inspection Directorate – Drone Supply 01.08.2025
https://prishtinaonline.com/uploads/organizimi_i_koncertit_rame_lahaj_with_friends_31.07.2025.pdf,Organization of the concert Rame Lahaj with friends 31.07.2025
https://prishtinaonline.com/uploads/organizimi_i_festivalit_sunny_hill_31.07.2025.pdf,Sunny Hill Festival Organization 31.07.2025
https://prishtinaonline.com/uploads/137_furnizimi_dhe_montimi_i_serrave_30.07.2025.pdf,137 Supply and installation of greenhouses 30.07.2025
https://prishtinaonline.com/uploads/renovimi_i_shkollave_dhe_iea-dysheme_30.07.2025.pdf,Renovation of schools and IEA-Floor 30.07.2025
https://prishtinaonline.com/uploads/furnizim_me_uniforma_verore_per_qmu-se_lot_1_dhe_furnizim_me_uniforma_per_punonjesit_e_qkmf-se_lot_2_ritender_29.07.2025.pdf,Supply of summer uniforms for QMU Lot 1 and Supply of uniforms for QKMF employees Lot 2 Retender 29.07.2025
https://prishtinaonline.com/uploads/19._furnizimi_me_tepiha_tepisona_dhe_perde_si_dhe_montimi_i_tyre_per_objektet_komunale_25.07.2025.pdf,"19. “Supply of carpets, rugs and curtains, as well as their installation for municipal facilities” 25.07.2025"
https://prishtinaonline.com/uploads/blerja_e_paisjeve_tjera_per_shml_dr._ali_sokoli_24.07.2025.pdf,Purchase of other equipment for SHML DR. Ali Sokoli 24.07.2025
https://prishtinaonline.com/uploads/ndertimi_i_urave_ne_pjesen_perendimore_te_unazes_qendrore_-_pune_shtese_nga_kontrata_baze_23.07.2025.pdf,Construction of bridges in the western part of the central ring road - additional work from the basic contract 23.07.2025
https://prishtinaonline.com/uploads/179_sinjalizimi_horizontal_dhe_vertikal-lot_i-vii_22.07.2025.pdf,179 Horizontal and Vertical Signaling-LOT I-VII 22.07.2025
https://prishtinaonline.com/uploads/177_ndertimi_i_kontejnereve_mbitokesor_dhe_nentokesor_furnizimi_dhe_zgjerimi-_ndertimi_furnizimi_i_kiosqeve_dhe_tualeteve_publike_21.07.2025.pdf,"177 “Construction of above-ground and underground containers, supply and expansion”- “Construction, supply of kiosks and public toilets” 21.07.2025"
https://prishtinaonline.com/uploads/31_furnizim_me_barna_per_shpmpf_18.07.2025.pdf,31 Supply of medicines for SHPMPF 18.07.2025
https://prishtinaonline.com/uploads/178_investimi_dhe_rregullimi_i_hapesirave_publike_faza_iii-te_15.07.2025.pdf,178 Investment and regulation of public spaces phase III 15.07.2025
https://prishtinaonline.com/uploads/24.furnizimi_dhe_montimi_me_perde-ritender_15.07.2025.pdf,24. “Supply and installation of curtains” - Retender 15.07.2025
https://prishtinaonline.com/uploads/furnizimi_me_pajisje_te_it_per_kabinete_ne_ieaa-se_09.07.2025.pdf,Supply of IT Equipment for IEAA cabinets 09.07.2025
https://prishtinaonline.com/uploads/mirembajtja_e_domenit_per_subvencione_per_drejtorite_kulture-rini-sport_-ritender_02.07.2025.pdf,Maintenance of the domain for Subsidies for the Directorates of Culture-Youth-Sports - Retender 02.07.2025
https://prishtinaonline.com/uploads/furnizimi_me_pajisje_mjekesore_per_qkmf_dhe_qmu_01.07.2025.pdf,Supply of medical equipment for QKMF and QMU 01.07.2025
https://prishtinaonline.com/uploads/68_mirembajtja_dhe_pastrimi_i_objekteve_komunale_01.07.2025.pdf,68 Maintenance and cleaning of municipal facilities 01.07.2025
https://prishtinaonline.com/uploads/179_sinjalizimi_horizontal_dhe_vertikal-lot_i-vii_01.07.2025.pdf,179 Horizontal and Vertical Signaling-LOT I-VII 01.07.2025
https://prishtinaonline.com/uploads/furnizimi_me_pajisje_te_zjarrefikesve_vullnetar_01.07.2025.pdf,Supply of equipment to volunteer firefighters 01.07.2025
